Sequence,Geo-X,Geo-Y,Geo-Z,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-z
185,0.654529,-1.135842,-0.57033,-0.001587,-1.009069,0.046288,-0.606635,-0.324646,-0.845429
186,0.65913,-1.143023,-0.580795,-0.008011,-0.999434,0.039061,-0.858316,-0.513443,-0.656482
187,0.65913,-1.131054,-0.575562,0.005642,-0.999434,0.035046,-0.795433,0.05295,-0.404801
188,0.65913,-1.128661,-0.557249,0.008853,-0.995418,0.019786,-0.543603,-0.45056,-0.530716
189,0.65913,-1.128661,-0.557249,0.001626,-1.008267,0.039061,-0.669518,-0.135848,-0.404801
190,0.661431,-1.131054,-0.572946,-0.003996,-0.993007,0.026211,-0.480721,0.115982,-0.404801
191,0.656829,-1.128661,-0.567714,-0.006405,-0.991403,0.014164,-0.228891,0.367662,-0.278886
192,0.654529,-1.123873,-0.578179,-0.006405,-1.000236,0.014164,-0.291923,-0.198731,-0.782397
193,0.663731,-1.131054,-0.59126,-0.008011,-0.999434,0.015771,-0.166008,-0.324646,-0.467684
194,0.661431,-1.133448,-0.572946,0.007248,-1.005054,0.021393,-0.669518,-0.387677,-0.530716
195,0.670633,-1.121479,-0.57033,0.005642,-1.001038,0.03103,-0.606635,-0.576475,-0.404801
196,0.670633,-1.121479,-0.57033,-0.002389,-0.989796,0.024604,-0.480721,-0.198731,-0.467684
197,0.663731,-1.126267,-0.578179,-0.003194,-0.992205,0.01818,-0.669518,-0.45056,-0.656482
198,0.663731,-1.133448,-0.578179,0.004837,-1.005858,0.018982,-0.73255,-0.261763,-0.530716
199,0.668332,-1.128661,-0.578179,-0.005602,-0.991403,0.029424,-0.480721,-0.324646,-0.719514
200,0.663731,-1.135842,-0.604341,0.00002,-0.990598,0.022195,-0.166008,-0.135848,-0.656482
201,0.666032,-1.133448,-0.572946,0.002428,-0.997023,0.022997,-0.543603,-0.324646,-0.656482
202,0.666032,-1.133448,-0.572946,-0.006405,-0.98819,0.026211,-0.858316,0.178865,-0.593599
203,0.661431,-1.123873,-0.541552,-0.003194,-0.993812,0.015771,-0.228891,-0.261763,-0.278886
204,0.65913,-1.133448,-0.559866,-0.005602,-0.992205,0.027817,-0.291923,-0.324646,-0.152972
205,0.656829,-1.126267,-0.552017,-0.003996,-0.995418,0.027817,-0.417838,-0.324646,-0.467684
206,0.666032,-1.133448,-0.567714,0.003231,-0.98819,0.016573,-0.795433,-0.576475,-0.845429
207,0.661431,-1.143023,-0.57033,0.003231,-1.001842,0.014966,-0.606635,-0.198731,-1.160141
208,0.661431,-1.143023,-0.57033,-0.01042,-0.989796,0.028619,-0.73255,-0.072965,-0.530716
209,0.677535,-1.143023,-0.57033,-0.000785,-0.997827,0.01818,-0.606635,0.115982,-0.656482
